어떠/B_XRI	어떠/XR
일자리/B_NNGII	일자리/NNG
중식/B_NNGI	중식/NNG
간수/B_NNGI	간수/NNG
익살/B_NNGI	익살/NNG
다나/B_ECI	다나/EC
손실/B_NNGI	손실/NNG
타이거/B_NNGII	타이거/NNG
번/B_NNB	번/NNB
좋아해/B_VVII+EF	좋아하/VV + 아/EF
합수/B_NNGI	합수/NNG
승리/B_NNGI	승리/NNG
인민/B_NNGI	인민/NNG
도울/B_VV+B_NYI_ETM	돕/VV + ㄹ/ETM
군용/B_NNGI	군용/NNG
흔들리/B_VVII	흔들리/VV
남산/B_NNPI	남산/NNP
준/B_VV+ETM	줄/VV + ㄴ/ETM
소문난/B_VVII+ETM	소문나/VV + ㄴ/ETM
교련/B_NNGI	교련/NNG
방황/B_NNGI	방황/NNG
크레인/B_NNGII	크레인/NNG
경험담/B_NNGII	경험담/NNG
춰봐/B_VV+B_NYI_EC	추/VV + 어/EC
의사/B_NNGI	의사/NNG
맘껏/B_MAGI	맘껏/MAG
지적/B_NNGI	지적/NNG
진입/B_NNGI	진입/NNG
너/B_NP	너/NP
예년/B_NNGI	예년/NNG
계약/B_NNGI	계약/NNG
올케/B_NNGI	올케/NNG
라두/B_ECI	라두/EC
22/B_SNI	22/SN
집행/B_NNGI	집행/NNG
주최/B_NNGI	주최/NNG
굴절/B_NNGI	굴절/NNG
파문/B_NNGI	파문/NNG
할/B_VX+ETM	하/VX + ㄹ/ETM
기자재/B_NNGII	기자재/NNG
지극히/B_MAGII	지극히/MAG
따라서/B_MAJII	따라서/MAJ
과감/B_XRI	과감/XR
루터/B_NNPI	루터/NNP
전후/B_NNGI	전후/NNG
민중/B_NNGI	민중/NNG
택시/B_NNGI	택시/NNG
세금/B_NNGI	세금/NNG
마분지/B_NNGII	마분지/NNG
아/B_JKV	아/JKV
장학회원/B_NNGIII	장학회원/NNG
숙대/B_NNPI	숙대/NNP
봉사자/B_NNGII	봉사자/NNG
힐러리/B_NNPII	힐러리/NNP
뒷바라지/B_NNGIII	뒷바라지/NNG
개폼/B_NNGI	개폼/NNG
혈맹/B_NNGI	혈맹/NNG
현역/B_NNGI	현역/NNG
여행비/B_NNGII	여행비/NNG
말리/B_VVI	말리/VV
새색시/B_NNGII	새색시/NNG
각/B_MM	각/MM
시도/B_NNGI	시도/NNG
펴/B_VV+EC	펴/VV + 어/EC
조그만/B_VAII+ETM	조그맣/VA + ㄴ/ETM
손뼉/B_NNGI	손뼉/NNG
지기스발트/B_NNPIIII	지기스발트/NNP
빌리/B_NNPI	빌리/NNP
봉지/B_NNGI	봉지/NNG
구름사다리/B_NNGIIII	구름사다리/NNG
구사/B_NRI	구사/NR
절로/B_MAGI	절로/MAG
네/B_EF	네/EF
익혔/B_VVI+EP	익히/VV + 었/EP
암기식/B_NNGII	암기식/NNG
공기/B_NNGI	공기/NNG
신장병/B_NNGII	신장병/NNG
네들/B_XSNI	네/XSN
경적/B_NNGI	경적/NNG
이데아/B_NNGII	이데아/NNG
영지/B_NNPI	영지/NNP
대/B_NNB	대/NNB
조회/B_NNGI	조회/NNG
대/B_NNG	대/NNG
실장/B_NNGI	실장/NNG
송호진/B_NNPII	송호진/NNP
업적/B_NNGI	업적/NNG
안녕히/B_MAGII	안녕히/MAG
공식/B_NNGI	공식/NNG
자연농원/B_NNPIII	자연농원/NNP
슈타츠/B_NNPII	슈타츠/NNP
득의/B_NNGI	득의/NNG
앉은키/B_NNGII	앉은키/NNG
교부/B_NNGI	교부/NNG
양주군/B_NNPII	양주군/NNP
휘감겼/B_VVII+EP	휘감기/VV + 었/EP
하한선/B_NNGII	하한선/NNG
질/B_NNG	질/NNG
발랐/B_VV+B_NYI+EP	바르/VV + 았/EP
핑크/B_NNGI	핑크/NNG
질/B_NNP	질/NNP
와요/B_VX+EFI	오/VX + 아요/EF
려고/B_ECI	려고/EC
풀릴지/B_VVI+B_NYI_EC	풀리/VV + ㄹ지/EC
드레스덴/B_NNPIII	드레스덴/NNP
최종/B_NNGI	최종/NNG
이봉련/B_NNPII	이봉련/NNP
생김새/B_NNGII	생김새/NNG
B/B_SL	B/SL
1103/B_SNIII	1103/SN
오뎅/B_NNGI	오뎅/NNG
인천/B_NNPI	인천/NNP
전파/B_NNGI	전파/NNG
126/B_SNII	126/SN
고/B_JKQ	고/JKQ
비중/B_NNGI	비중/NNG
발리/B_NNPI	발리/NNP
배역/B_NNGI	배역/NNG
사건/B_NNGI	사건/NNG
뇌수/B_NNGI	뇌수/NNG
당위/B_NNGI	당위/NNG
지내/B_VVI	지내/VV
정황/B_NNGI	정황/NNG
내/B_VX	내/VX
내/B_VV	내/VV
오죽/B_MAGI	오죽/MAG
서/B_EC+EC	아서/EC
양로원/B_NNGII	양로원/NNG
프로그램/B_NNGIII	프로그램/NNG
가죽/B_NNGI	가죽/NNG
기념/B_NNGI	기념/NNG
들이켰/B_VVII+EP	들이켜/VV + 었/EP
푸근/B_XRI	푸근/XR
슬쩍슬쩍/B_MAGIII	슬쩍슬쩍/MAG
역/B_NNG	역/NNG
복사뼈/B_NNGII	복사뼈/NNG
담당/B_NNGI	담당/NNG
말라리아/B_NNGIII	말라리아/NNG
교원단체총연합회/B_NNPIIIIIII	교원단체총연합회/NNP
동회/B_NNGI	동회/NNG
오락/B_NNGI	오락/NNG
짤막/B_XRI	짤막/XR
작달막/B_XRII	작달막/XR
찔러봤/B_VVII+EP	찔러보/VV + 았/EP
단/B_VV+ETM	달/VV + ㄴ/ETM
알뜰/B_NNGI	알뜰/NNG
헐떡거리/B_VVIII	헐떡거리/VV
요시이/B_NNPII	요시이/NNP
들락거리/B_VVIII	들락거리/VV
축구단/B_NNGII	축구단/NNG
기미/B_NNGI	기미/NNG
넝마주이/B_NNGIII	넝마주이/NNG
장학/B_NNGI	장학/NNG
앞세우/B_VVII	앞세우/VV
흩날리/B_VVII	흩날리/VV
으로/B_NNG+B_NYI_JKB	펜/NNG + 으로/JKB
찻물/B_NNGI	찻물/NNG
터/B_NNG	터/NNG
에프엠/B_NNGII	에프엠/NNG
터/B_NNB	터/NNB
보호/B_NNGI	보호/NNG
지은이/B_NNPII	지은이/NNP
신세계/B_NNPII	신세계/NNP
시설물/B_NNGII	시설물/NNG
대대장/B_NNGII	대대장/NNG
막혀서/B_VVI+ECI	막히/VV + 어서/EC
학문/B_NNGI	학문/NNG
아랫돌/B_NNGII	아랫돌/NNG
적셔/B_VVI+EC	적시/VV + 어/EC
취나물/B_NNGII	취나물/NNG
돼봐/B_VV+B_NYI_EC	되/VV + 어/EC
모/B_MM	모/MM
친/B_XPN	친/XPN
걸/B_NNG	걸/NNG
이/B_VCP	이/VCP
지우/B_VVI	지우/VV
저희/B_NPI	저희/NP
랄까/B_EFI	랄까/EF
내리깔/B_VVII	내리깔/VV
통닭집/B_NNGII	통닭집/NNG
하향/B_NNGI	하향/NNG
풀려/B_VVI+EC	풀리/VV + 어/EC
거실/B_NNGI	거실/NNG
뜨이/B_VVI	뜨이/VV
처음/B_NNGI	처음/NNG
밤새/B_NNGI	밤새/NNG
이노끼/B_NNPII	이노끼/NNP
반역자/B_NNGII	반역자/NNG
달팽이/B_NNGII	달팽이/NNG
가려내/B_VVII+EC	가려내/VV + 어/EC
대뜸/B_MAGI	대뜸/MAG
눌려/B_VVI+EC	눌리/VV + 어/EC
철강/B_NNGI	철강/NNG
주름살/B_NNGII	주름살/NNG
포르노/B_NNGII	포르노/NNG
자질구레/B_XRIII	자질구레/XR
브라운/B_NNGII	브라운/NNG
국악/B_NNGI	국악/NNG
자성/B_NNGI	자성/NNG
명의/B_NNGI	명의/NNG
무리수/B_NNGII	무리수/NNG
매끈/B_XRI	매끈/XR
간혹/B_MAGI	간혹/MAG
닥치/B_VVI	닥치/VV
보조/B_NNGI	보조/NNG
쓴웃음/B_NNGII	쓴웃음/NNG
암컷/B_NNGI	암컷/NNG
만났/B_VVI+EP	만나/VV + 았/EP
아까운/B_VAI+B_NYI_ETM	아깝/VA + ㄴ/ETM
긍정/B_NNGI	긍정/NNG
지려고/B_VXI_ECI	지/VX
도중/B_NNGI	도중/NNG
앞세운/B_VVII+ETM	앞세우/VV + ㄴ/ETM
홍도미/B_NNGII	홍도미/NNG
시중/B_NNGI	시중/NNG
답신/B_NNGI	답신/NNG
육아/B_NNGI	육아/NNG
감시/B_NNGI	감시/NNG
골목길/B_NNGII	골목길/NNG
어차피/B_MAGII	어차피/MAG
못할/B_VXI+ETM	못하/VX + ㄹ/ETM
괘씸죄/B_NNGII	괘씸죄/NNG
작동/B_NNGI	작동/NNG
십/B_NR	십/NR
부쳐/B_VVI+EF	부치/VV + 어/EF
대변인/B_NNGII	대변인/NNG
범벅/B_NNGI	범벅/NNG
그토록/B_MAGII	그토록/MAG
50/B_SNI	50/SN
으로선/B_JKBII+JX	으로서/JKB + ㄴ/JX
작정/B_NNGI	작정/NNG
옷감/B_NNGI	옷감/NNG
알아봐야/B_VVII_ECI	알아보/VV
해볼/B_VV+B_NYI_EC	하/VV + 아/EC
군속/B_NNGI	군속/NNG
곱슬머리/B_NNGIII	곱슬머리/NNG
파출소/B_NNGII	파출소/NNG
광택/B_NNGI	광택/NNG
널어놓/B_VVII	널어놓/VV
입가/B_NNGI	입가/NNG
받아먹/B_VVII	받아먹/VV
아낙/B_NNGI	아낙/NNG
랄까/B_ECI	랄까/EC
내딛/B_VVI	내딛/VV
들으니/B_VV+B_NYI_ECI	듣/VV + 으니/EC
춰본/B_VV+B_NYI_EC+VX	추/VV + 어/EC
봄바람/B_NNGII	봄바람/NNG
드라마/B_NNGII	드라마/NNG
아시겠/B_VV+B_NYI_EPI	알/VV + 시/EP
남기/B_VVI	남기/VV
마찬가지여서/B_NNGIIII+ECI	마찬가지/NNG + 이/VCP
유명/B_NNGI	유명/NNG
신작로/B_NNGII	신작로/NNG
감독/B_NNGI	감독/NNG
나선/B_VVI+ETM	나서/VV + ㄴ/ETM
맞히/B_VVI	맞히/VV
귀퉁이/B_NNGII	귀퉁이/NNG
우연/B_NNGI	우연/NNG
예약/B_NNGI	예약/NNG
다/B_VCP+EF	이/VCP + 다/EF
S/B_SL	S/SL
비켜찌르기/B_NNPIIII	비켜찌르기/NNP
당분간/B_MAGII	당분간/MAG
원전/B_NNGI	원전/NNG
길쭉/B_XRI	길쭉/XR
자락/B_NNGI	자락/NNG
강령/B_NNGI	강령/NNG
실망/B_NNGI	실망/NNG
쫓아갔/B_VVII+EP	쫓아가/VV + 았/EP
수돗물/B_NNGII	수돗물/NNG
코/B_NNG	코/NNG
다/B_VCP+EC	이/VCP + 다/EC
대해야/B_VVI_ECI	대하/VV
정신/B_NNGI	정신/NNG
기어올라/B_VVIII_EC	기어오르/VV
생겼/B_VVI+EP	생기/VV + 었/EP
한나절/B_NNGII	한나절/NNG
고른/B_VVI+ETM	고르/VV + ㄴ/ETM
남편/B_NNGI	남편/NNG
벤츠/B_NNGI	벤츠/NNG
앓/B_VV	앓/VV
오랑우탄/B_NNGIII	오랑우탄/NNG
합법/B_NNGI	합법/NNG
아기/B_NNGI	아기/NNG
실업학교/B_NNGIII	실업학교/NNG
쌓여/B_VVI+EC	쌓이/VV + 어/EC
전담/B_NNGI	전담/NNG
쉬웠/B_VA+B_NYI_EP	쉽/VA + 었/EP
대부분/B_NNGII	대부분/NNG
몰두/B_NNGI	몰두/NNG
빨강/B_NNGI	빨강/NNG
할당/B_NNGI	할당/NNG
활동/B_NNGI	활동/NNG
끊임없이/B_MAGIII	끊임없이/MAG
등산화/B_NNGII	등산화/NNG
그/B_MM	그/MM
갑자기/B_MAGII	갑자기/MAG
학년/B_NNGI	학년/NNG
풀려났/B_VVII+EP	풀려나/VV + 았/EP
편할/B_VAI+ETM	편하/VA + ㄹ/ETM
최병도/B_NNPII	최병도/NNP
세력/B_NNGI	세력/NNG
감격/B_NNGI	감격/NNG
일관돼서/B_NNGII+ECI	일관/NNG + 되/XSV
호탕/B_XRI	호탕/XR
연습장/B_NNGII	연습장/NNG
비/B_NNG	비/NNG
친구/B_NNGI	친구/NNG
</B_SS	</SS
향긋/B_XRI	향긋/XR
모터파크/B_NNPIII	모터파크/NNP
올라가/B_VVII	올라가/VV
위상학/B_NNGII	위상학/NNG
재원/B_NNGI	재원/NNG
결사대/B_NNGII	결사대/NNG
불리/B_NNGI	불리/NNG
바른/B_VVI+ETM	바르/VV + ㄴ/ETM
상금/B_NNGI	상금/NNG
밸브/B_NNGI	밸브/NNG
의무/B_NNGI	의무/NNG
놀랄/B_VVI+ETM	놀라/VV + ㄹ/ETM
인데/B_VCP+B_NYI_EF	이/VCP + ㄴ데/EF
걸어가/B_VVII	걸어가/VV
동태눈/B_NNGII	동태눈/NNG
인데/B_VCP+B_NYI_EC	이/VCP + ㄴ데/EC
입맛/B_NNGI	입맛/NNG
낙인찍힌/B_VVIII+ETM	낙인찍히/VV + ㄴ/ETM
옥살이/B_NNGII	옥살이/NNG
쿠웨이트/B_NNPIII	쿠웨이트/NNP
의학부/B_NNGII	의학부/NNG
피워/B_VVI+EC	피우/VV + 어/EC
잔재/B_NNGI	잔재/NNG
종착역/B_NNGII	종착역/NNG
으론/B_JKBI+JX	으로/JKB + ㄴ/JX
실패/B_NNGI	실패/NNG
고참/B_NNGI	고참/NNG
편해/B_VAI_EC	편하/VA
보릿고개/B_NNGIII	보릿고개/NNG
다분히/B_MAGII	다분히/MAG
교대/B_NNGI	교대/NNG
주서기/B_NNGII	주서기/NNG
는지/B_EFI	는지/EF
라곤/B_ECI+JX	라고/EC + ㄴ/JX
낙원떡집/B_NNPIII	낙원떡집/NNP
번영관/B_NNPII	번영관/NNP
²/B_SW	²/SW
지각/B_NNGI	지각/NNG
보육/B_NNGI	보육/NNG
자충수/B_NNGII	자충수/NNG
도와줘야죠/B_VVII_VV+EFII	도와주/VV + 어야죠/EF
그/B_NP	그/NP
뺏/B_VV	뺏/VV
항상/B_MAGI	항상/MAG
교육원/B_NNGII	교육원/NNG
효율/B_NNGI	효율/NNG
예술사/B_NNGII	예술사/NNG
답장/B_NNGI	답장/NNG
이성/B_NNGI	이성/NNG
하늘색/B_NNGII	하늘색/NNG
식/B_NNG	식/NNG
라나/B_VCP+B_NYI_EF	이/VCP + 라나/EF
식/B_NNB	식/NNB
등장인물/B_NNGIII	등장인물/NNG
가로막/B_VVII	가로막/VV
일부/B_NNGI	일부/NNG
네/B_NP	네/NP
열광/B_NNGI	열광/NNG
캔/B_NNG	캔/NNG
외롭/B_VAI	외롭/VA
아름다웠/B_VAII+B_NYI_EP	아름답/VA + 었/EP
기차/B_NNGI	기차/NNG
유권자/B_NNGII	유권자/NNG
별거/B_NNGI	별거/NNG
진압/B_NNGI	진압/NNG
불가항력/B_NNGIII	불가항력/NNG
네/B_MM	네/MM
일요일/B_NNGII	일요일/NNG
끓인/B_VVI+ETM	끓이/VV + ㄴ/ETM
홍천/B_NNPI	홍천/NNP
육이오/B_NNPII	육이오/NNP
정예/B_NNGI	정예/NNG
슈퍼/B_NNGI	슈퍼/NNG
그리워/B_VAI+B_NYI_EC	그립/VA + 어/EC
왜/B_IC	왜/IC
여성미/B_NNGII	여성미/NNG
파트너/B_NNGII	파트너/NNG
할까/B_VX+EFI	하/VX + ㄹ까/EF
일깨워/B_VVII+EC	일깨우/VV + 어/EC
쭈그려/B_VVII+EC	쭈그리/VV + 어/EC
각서/B_NNGI	각서/NNG
에게/B_JKBI	에게/JKB
데스크/B_NNGII	데스크/NNG
재원/B_NNPI	재원/NNP
탁/B_MAG	탁/MAG
지껄이/B_VVII	지껄이/VV
다음날/B_NNGII	다음날/NNG
중간/B_NNGI	중간/NNG
난로/B_NNGI	난로/NNG
봉/B_NNG	봉/NNG
체육/B_NNGI	체육/NNG
권유/B_NNGI	권유/NNG
정중히/B_MAGII	정중히/MAG
할까/B_VX+ECI	하/VX + ㄹ까/EC
내드리/B_VVII	내드리/VV
무서워/B_VAI+B_NYI_EC	무섭/VA + 어/EC
줄담배/B_NNGII	줄담배/NNG
고등/B_NNGI	고등/NNG
심심/B_XRI	심심/XR
권력욕/B_NNGII	권력욕/NNG
용/B_XSN	용/XSN
태우/B_VVI	태우/VV
붉어지/B_VVII	붉어지/VV
옮겨/B_VVI+EC	옮기/VV + 어/EC
샀/B_VV+EP	사/VV + 았/EP
획일/B_XRI	획일/XR
디자인/B_NNGII	디자인/NNG
뿜/B_VV	뿜/VV
해요/B_XSV+B_NYI_EF	하/XSV + 아요/EF
수준/B_NNGI	수준/NNG
미끄럼틀/B_NNGIII	미끄럼틀/NNG
귀족/B_NNGI	귀족/NNG
채/B_VV	채/VV
상사원/B_NNGII	상사원/NNG
전대협/B_NNPII	전대협/NNP
아이엠에프/B_NNPIIII	아이엠에프/NNP
면/B_VCP+EC	이/VCP + 면/EC
미스/B_NNGI	미스/NNG
잘/B_VA	잘/VA
곤란/B_NNGI	곤란/NNG
에이즈/B_NNGII	에이즈/NNG
네/B_IC	네/IC
나서/B_VVI	나서/VV
선보인다/B_VVI+B_NYI_EF	선보이/VV + ㄴ다/EC
안전/B_NNGI	안전/NNG
여학생/B_NNGII	여학생/NNG
요/B_EC	아요/EC
선입견/B_NNGII	선입견/NNG
요/B_EF	어요/EF
벽돌/B_NNGI	벽돌/NNG
생산자/B_NNGII	생산자/NNG
미팅/B_NNGI	미팅/NNG
합쳐도/B_VVI+ECI	합치/VV + 어도/EC
보였/B_VVI+EP	보이/VV + 었/EP
나온/B_VVI+ETM	나오/VV + ㄴ/ETM
새나라/B_NNPII	새나라/NNP
적지않이/B_MAGIII	적지않이/MAG
지국/B_NNGI	지국/NNG
문고리/B_NNGII	문고리/NNG
네/B_XSN	네/XSN
이권/B_NNGI	이권/NNG
은/B_ETM	은/ETM
반민특위/B_NNGIII	반민특위/NNG
됐다./B_VV+B_NYI_EP+B_NYI_EC	되/VV + 었/EP
지켜/B_VVI+EC	지키/VV + 어/EC
만면/B_NNGI	만면/NNG
스토리/B_NNGII	스토리/NNG
내게/B_NP+JKBI	나/NP + 에게/JKB
훨훨/B_MAGI	훨훨/MAG
내국세/B_NNGII	내국세/NNG
연설/B_NNGI	연설/NNG
다니까/B_ECII	다니까/EC
아침저녁/B_NNGIII	아침저녁/NNG
바늘/B_NNGI	바늘/NNG
코드/B_NNGI	코드/NNG
부르/B_VVI	부르/VV
뒤차/B_NNGI	뒤차/NNG
출국/B_NNGI	출국/NNG
충분/B_XRI	충분/XR
흘러내린/B_VVIII+ETM	흘러내리/VV + ㄴ/ETM
67/B_SNI	67/SN
짐작/B_NNGI	짐작/NNG
유망/B_NNGI	유망/NNG
묶/B_VV	묶/VV
깨침/B_VVI+ETN	깨치/VV + ㅁ/ETN
테이블/B_NNGII	테이블/NNG
내리/B_VVI	내리/VV
생명/B_NNGI	생명/NNG
조기/B_NNGI	조기/NNG
다녀와야/B_VVII_ECI	다녀오/VV
마쳤/B_VVI+EP	마치/VV + 었/EP
모국/B_NNGI	모국/NNG
엔터테인먼트/B_NNGIIIII	엔터테인먼트/NNG
막일/B_NNGI	막일/NNG
건/B_NNB+JX	것/NNB + ㄴ/JX
표기/B_NNGI	표기/NNG
헌팅/B_NNGI	헌팅/NNG
돌아보/B_VVII	돌아보/VV
무사히/B_MAGII	무사히/MAG
이라고/B_JKQII	이라고/JKQ
완제품/B_NNGII	완제품/NNG
너털웃음/B_NNGIII	너털웃음/NNG
알아채/B_VVII	알아채/VV
특산품/B_NNGII	특산품/NNG
살해/B_NNGI	살해/NNG
아마존/B_NNPII	아마존/NNP
불러온/B_VVI+ETM	불러오/VV + ㄴ/ETM
로프/B_NNGI	로프/NNG
흔들릴/B_VVII+ETM	흔들리/VV + ㄹ/ETM
물거품/B_NNGII	물거품/NNG
풋/B_XPN	풋/XPN
조류/B_NNGI	조류/NNG
과일/B_NNGI	과일/NNG
충전식/B_NNGII	충전식/NNG
쳐들어간다/B_VVIII+B_NYI_EF	쳐들어가/VV + ㄴ다/EF
채/B_MAG	채/MAG
교칙/B_NNGI	교칙/NNG
알프스리조트/B_NNPIIIII	알프스리조트/NNP
와봤/B_VV+B_NYI_EC	오/VV + 아/EC
개입/B_NNGI	개입/NNG
안절부절/B_MAGIII	안절부절/MAG
셋째/B_NRI	셋째/NR
붙임성/B_NNGII	붙임성/NNG
과반수/B_NNGII	과반수/NNG
하나하나/B_NNGIII	하나하나/NNG
관장/B_NNGI	관장/NNG
이념/B_NNGI	이념/NNG
악/B_NNG	악/NNG
유족/B_NNGI	유족/NNG
기대/B_NNGI	기대/NNG
대부/B_NNGI	대부/NNG
던져/B_VVI+EC	던지/VV + 어/EC
미니어처/B_NNGIII	미니어처/NNG
기금법/B_NNGII	기금법/NNG
해봤/B_VV+B_NYI_EC	하/VV + 아/EC
비할/B_VVI+ETM	비하/VV + ㄹ/ETM
팩트/B_NNGI	팩트/NNG
팩스/B_NNGI	팩스/NNG
방바닥/B_NNGII	방바닥/NNG
평준/B_NNGI	평준/NNG
에라/B_ICI	에라/IC
업체/B_NNGI	업체/NNG
비만자/B_NNGII	비만자/NNG
줄어들/B_VVII	줄어들/VV
레블론화장품/B_NNPIIIII	레블론화장품/NNP
모델료/B_NNGII	모델료/NNG
짐카나/B_NNGII	짐카나/NNG
짬뽕/B_NNGI	짬뽕/NNG
짐승/B_NNGI	짐승/NNG
대구/B_NNPI	대구/NNP
맹한/B_VAI+ETM	맹하/VA + ㄴ/ETM
끊어졌/B_VVII+EP	끊어지/VV + 었/EP
윗돌/B_NNGI	윗돌/NNG
가/B_VV+EC	가/VV + 아/EC
대장간/B_NNGII	대장간/NNG
분말/B_NNGI	분말/NNG
몽땅/B_MAGI	몽땅/MAG
지/B_NNB	지/NNB
황량/B_XRI	황량/XR
화장실/B_NNGII	화장실/NNG
때/B_NNG	때/NNG
아깝/B_VAI	아깝/VA
특유/B_NNGI	특유/NNG
공동생활/B_NNGIII	공동생활/NNG
지겨워하/B_VVIII	지겨워하/VV
목수/B_NNGI	목수/NNG
송창의/B_NNPII	송창의/NNP
지/B_NNG	지/NNG
담보/B_NNGI	담보/NNG
수도/B_NNGI	수도/NNG
드러낸/B_VVII+ETM	드러내/VV + ㄴ/ETM
고성옥/B_NNPII	고성옥/NNP
PC/B_SLI	PC/SL
님별/B_XSNI	님/XSN
산업/B_NNGI	산업/NNG
새끼/B_NNGI	새끼/NNG
국회/B_NNGI	국회/NNG
통한/B_VVI+ETM	통하/VV + ㄴ/ETM
단점/B_NNGI	단점/NNG
도구/B_NNGI	도구/NNG
라니까/B_EFII	라니까/EF
내려지/B_VVII	내려지/VV
음악회/B_NNGII	음악회/NNG
종/B_NNG	종/NNG
친다/B_VV+EFI	치/VV + ㄴ다/EF
박스/B_NNGI	박스/NNG
건축가/B_NNGII	건축가/NNG
공청회/B_NNGII	공청회/NNG
무스/B_NNGI	무스/NNG
다며/B_EFI	다며/EF
손색없/B_VAII	손색없/VA
풍차/B_NNGI	풍차/NNG
언젯적/B_NNGII	언젯적/NNG
강도/B_NNGI	강도/NNG
한대/B_VV+EFI	하/VV + ㄴ대/EF
맺/B_VV	맺/VV
저떻/B_VAI	저떻/VA
직함/B_NNGI	직함/NNG
속출/B_NNGI	속출/NNG
곧/B_MAG	곧/MAG
평년/B_NNGI	평년/NNG
형준이/B_NNPII	형준이/NNP
는다구/B_ECII	는다구/EC
계열사/B_NNGII	계열사/NNG
전영배/B_NNPII	전영배/NNP
산매/B_NNGI	산매/NNG
그래서/B_VVI_VV+ECI	그러/VV + 어서/EC
이웃집/B_NNGII	이웃집/NNG
가져올/B_VVII+ETM	가져오/VV + ㄹ/ETM
화통/B_NNGI	화통/NNG
운동장/B_NNGII	운동장/NNG
수타사/B_NNPII	수타사/NNP
주유소/B_NNGII	주유소/NNG
살아가/B_VVII	살아가/VV
친해/B_VAI_EC	친하/VA
이것/B_NPI	이것/NP
허덕이/B_VVII	허덕이/VV
늘임봉/B_NNGII	늘임봉/NNG
학무국/B_NNGII	학무국/NNG
침공/B_NNGI	침공/NNG
지만/B_ECI	지만/EC
포스트모더니즘/B_NNGIIIIII	포스트모더니즘/NNG
레니게이드/B_NNPIIII	레니게이드/NNP
대피/B_NNGI	대피/NNG
전공자/B_NNGII	전공자/NNG
얻어맞/B_VVII	얻어맞/VV
켜/B_VV	켜/VV
곁/B_NNG	곁/NNG
솔가지/B_NNGII	솔가지/NNG
각별/B_NNGI	각별/NNG
오숙희/B_NNPII	오숙희/NNP
자란/B_VVI+ETM	자라/VV + ㄴ/ETM
신월/B_NNPI	신월/NNP
인정받/B_VVII	인정받/VV
탁자보/B_NNGII	탁자보/NNG
미끄러짐/B_VVIII+ETN	미끄러지/VV + ㅁ/ETN
진료/B_NNGI	진료/NNG
경남/B_NNPI	경남/NNP
팝/B_NNG	팝/NNG
여름날/B_NNGII	여름날/NNG
업소/B_NNGI	업소/NNG
말려들/B_VVII+ETM	말려들/VV + ㄹ/ETM
전기/B_NNGI	전기/NNG
토지/B_NNGI	토지/NNG
속눈썹/B_NNGII	속눈썹/NNG
새웠/B_VVI+EP	새우/VV + 었/EP
타일/B_NNGI	타일/NNG
마무리/B_NNGII	마무리/NNG
모르/B_VVI	모르/VV
지위/B_NNGI	지위/NNG
반한/B_VVI+ETM	반하/VV + ㄴ/ETM
차려라/B_VVI+EFI	차리/VV + 어라/EF
고막/B_NNGI	고막/NNG
붉어졌/B_VVII+EP	붉어지/VV + 었/EP
93/B_SNI	93/SN
바람직/B_XRII	바람직/XR
백두산/B_NNPII	백두산/NNP
크기/B_NNGI	크기/NNG
다며/B_ECI	다며/EC
넓/B_VA	넓/VA
기다릴/B_VVII+ETM	기다리/VV + ㄹ/ETM
힘/B_NNG	힘/NNG
고를/B_VVI+ETM	고르/VV + ㄹ/ETM
텐/B_NNB+VCP	터/NNB + 이/VCP
세모/B_NNGI	세모/NNG
외침/B_NNGI	외침/NNG
소식/B_NNGI	소식/NNG
세울/B_VVI+ETM	세우/VV + ㄹ/ETM
고입/B_NNGI	고입/NNG
자고/B_ECI	자고/EC
힐끗/B_MAGI	힐끗/MAG
것입니다/B_NNBB_VCP+B_NYI_EFI	것/NNB + 이/VCP + ㅂ니다/EC
원구단/B_NNPII	원구단/NNP
모임/B_NNGI	모임/NNG
풀릴/B_VVI+ETM	풀리/VV + ㄹ/ETM
도달/B_NNGI	도달/NNG
면도칼/B_NNGII	면도칼/NNG
소화전/B_NNGII	소화전/NNG
95/B_SNI	95/SN
리우데자네이루/B_NNPIIIIII	리우데자네이루/NNP
살/B_VV+ETM	살/VV + ㄹ/ETM
짓이기/B_VVII	짓이기/VV
남색/B_NNGI	남색/NNG
분석/B_NNGI	분석/NNG
이쯤/B_MAGI	이쯤/MAG
대서양/B_NNPII	대서양/NNP
밀려났/B_VVII+EP	밀려나/VV + 았/EP
사탕/B_NNGI	사탕/NNG
그날/B_NNGI	그날/NNG
지만/B_EFI	지만/EF
학생회/B_NNGII	학생회/NNG
핫팬츠/B_NNGII	핫팬츠/NNG
창립/B_NNGI	창립/NNG
세워라/B_VVI+ECI	세우/VV + 어라/EC
는걸/B_EFI	는걸/EF
더라/B_EFI	더라/EF
무대/B_NNGI	무대/NNG
축소/B_NNGI	축소/NNG
서교동/B_NNPII	서교동/NNP
가리키/B_VVII	가리키/VV
한다면/B_XSV+B_NYI_ECI	하/XSV + ㄴ다면/EC
뉴스/B_NNGI	뉴스/NNG
상징/B_NNGI	상징/NNG
소녀/B_NNGI	소녀/NNG
어긋나/B_VVII	어긋나/VV
졸려서/B_VVI+ECI	졸리/VV + 어서/EC
현황/B_NNGI	현황/NNG
부근/B_NNGI	부근/NNG
기온/B_NNGI	기온/NNG
끔찍/B_XRI	끔찍/XR
무척/B_MAGI	무척/MAG
분장/B_NNGI	분장/NNG
